"Variable","Coefficient","CI_low","Q_25","Q_50","Q_75","CI_high","Species"
"(Intercept)",-0.634784196686474,-2.70929186837087,-1.31345725911405,-0.6362027310825,0.0453711639410048,1.46449573146831,"Eucoleus"
"sex[male]",0.251616414021604,-0.477284667588841,0.00508635528193708,0.248462905061185,0.49584744143842,0.998689426513538,"Eucoleus"
"weight_kg",-0.250396987267317,-0.603220029562698,-0.355930052523181,-0.243742551229736,-0.137275454754348,0.064210844187785,"Eucoleus"
"season[spring]",0.766867724422298,-0.22885862388077,0.430061103962781,0.763812598207663,1.0994769494887,1.78507553597443,"Eucoleus"
"season[winter]",1.39745095768877,0.632622164739439,1.11798999802554,1.38092418640971,1.65814444890778,2.25730984805086,"Eucoleus"
"area[Brandenburg]",0.627742490830781,-0.197646645262086,0.333154892959516,0.616217868625625,0.910796892334192,1.52543698725252,"Eucoleus"
"Diet_Species_richness",0.113510583389352,0.00108598743186967,0.0719724183971975,0.110489666182559,0.151607703870794,0.243651849348235,"Eucoleus"
"BacM_Species_richness",-0.00949055255944423,-0.0554904272737781,-0.0238955973175337,-0.00924051176236249,0.00522339494244079,0.0348955525018976,"Eucoleus"
"FunM_Species_richness",0.0319004743292527,0.00265837819017998,0.0210792026865665,0.0309421505644456,0.0417946190856129,0.0661513752994995,"Eucoleus"
"(Intercept)",-1.04661465043911,-3.03131748214239,-1.71647519875267,-1.04504142913731,-0.369302546589466,0.913448725919357,"Clonorchis"
"sex[male]",0.00649738986763332,-0.687833059450687,-0.228317536762967,0.00749624558500237,0.241120383119784,0.695159456120852,"Clonorchis"
"weight_kg",-0.106461649963196,-0.413028215128863,-0.206307294224638,-0.104677515487239,-0.0037755763707749,0.187023023454327,"Clonorchis"
"season[spring]",1.30302200487897,0.33529377118376,0.952026576308631,1.28878563977553,1.63625339171957,2.36086548861489,"Clonorchis"
"season[winter]",0.792820342472435,-0.0987354233333581,0.472721943549313,0.780727654913761,1.09793320610288,1.75213723991583,"Clonorchis"
"area[Brandenburg]",0.708459244190993,-0.0498773983445563,0.443419955591416,0.703401935609515,0.968551920106929,1.50528042448841,"Clonorchis"
"Diet_Species_richness",0.0128406728165722,-0.0914118125823291,-0.0225628085128014,0.0128305560286084,0.048177282560117,0.11731974821888,"Clonorchis"
"BacM_Species_richness",-0.0125651380575599,-0.0523655237447973,-0.0260700184983304,-0.0125150960337126,0.000990300375016672,0.0270621191141006,"Clonorchis"
"FunM_Species_richness",-0.0339109529794659,-0.0700329356586821,-0.0452835813793022,-0.033427102445397,-0.0218163253076907,-0.000829850263511087,"Clonorchis"
"(Intercept)",-0.160297584183864,-1.5054154318529,-0.6190070151524,-0.160228057692519,0.300409156474084,1.1743069122463,"Mesocestoides"
"sex[male]",-0.168930235161327,-0.684306094911131,-0.343090231761939,-0.167631433842526,0.00591036111437706,0.338325452257087,"Mesocestoides"
"weight_kg",-0.0705491507947263,-0.273075163389049,-0.139483632946767,-0.0705228591047588,-0.00154797818366308,0.131399477254248,"Mesocestoides"
"season[spring]",0.0839920472216084,-0.671960617510046,-0.174054005791049,0.0862298565931595,0.341616002001938,0.836731203072669,"Mesocestoides"
"season[winter]",0.468390582833041,-0.108217914592306,0.266310786360087,0.467491189069944,0.667531668654444,1.05573598876806,"Mesocestoides"
"area[Brandenburg]",0.761764782427527,0.166372662514759,0.555658081537154,0.75919034752972,0.965750933269039,1.37241514405744,"Mesocestoides"
"Diet_Species_richness",-0.00813546958883154,-0.0843784664583159,-0.0335155095788166,-0.00801666518416654,0.0176059057952559,0.0663648958565442,"Mesocestoides"
"BacM_Species_richness",-0.00879702896244242,-0.0370880551715544,-0.0184947035949449,-0.00876221698503165,0.000861321958129553,0.0192203254734323,"Mesocestoides"
"FunM_Species_richness",-0.00239688887572352,-0.0232494119395617,-0.00944446881968288,-0.00231041676682922,0.00472236019807765,0.0182176704995506,"Mesocestoides"
"(Intercept)",1.66315678370113,0.244096937630055,1.16765114424908,1.65623292443992,2.14871750792412,3.12065481143837,"Angiostrongylus"
"sex[male]",0.0593108689795215,-0.527066435035367,-0.133383918527081,0.0618096471429152,0.257262752251739,0.618823779727991,"Angiostrongylus"
"weight_kg",-0.308003500757901,-0.533551409532867,-0.384801309721313,-0.307866844903045,-0.230499664348781,-0.0864561487944752,"Angiostrongylus"
"season[spring]",0.201808615456123,-0.566017903250236,-0.0602296613369031,0.200492057766084,0.462741656840231,0.975017502553138,"Angiostrongylus"
"season[winter]",0.620681916635533,0.0129925540027001,0.409865892822029,0.619684839678199,0.829544214340934,1.23941295848534,"Angiostrongylus"
"area[Brandenburg]",-1.36200331379456,-2.05197848309104,-1.58642241267047,-1.35304229604985,-1.12876406263692,-0.720162105205285,"Angiostrongylus"
"Diet_Species_richness",0.0345282918838286,-0.0467503722285494,0.00599038385195958,0.033831599519338,0.0627839763556394,0.118413648926653,"Angiostrongylus"
"BacM_Species_richness",0.0138811823463624,-0.0158307499508846,0.00353129331081063,0.0137422406226499,0.0241650067172088,0.0443856633889121,"Angiostrongylus"
"FunM_Species_richness",0.0029972490800702,-0.019217300450057,-0.00469796216560217,0.00294386213479443,0.0106614170590314,0.0255858916797531,"Angiostrongylus"
"(Intercept)",2.62411737116675,1.17120033620542,2.1071034416476,2.60659383131155,3.11818171060059,4.18196617090038,"Uncinaria"
"sex[male]",0.374964578665087,-0.167597938314765,0.185469479770029,0.371227720336876,0.561886195379491,0.929578586689144,"Uncinaria"
"weight_kg",-0.384881407845945,-0.622437034685157,-0.461391927022192,-0.382790198532139,-0.305212429829,-0.163605563447022,"Uncinaria"
"season[spring]",0.316201176922711,-0.444850136571235,0.0489833937183036,0.313458165611399,0.577796835559383,1.09799775055893,"Uncinaria"
"season[winter]",-0.16084672197891,-0.739433374924906,-0.352790741605909,-0.15905592182604,0.0341519969566162,0.398177804732355,"Uncinaria"
"area[Brandenburg]",0.233980341675944,-0.39333549414919,0.0182771995289064,0.23317045617887,0.447967418548009,0.866193564697909,"Uncinaria"
"Diet_Species_richness",-0.147198341713639,-0.242457578772404,-0.177267797319954,-0.145770716711906,-0.115525871106315,-0.0607331225999341,"Uncinaria"
"BacM_Species_richness",-0.0128381593614461,-0.0432017117296891,-0.023144288434051,-0.0127158684942984,-0.00242742338017525,0.0170639786775802,"Uncinaria"
"FunM_Species_richness",0.0174215629330323,-0.00436342872755722,0.0097797703480112,0.0172976452270478,0.0248865382380429,0.039841978073482,"Uncinaria"
"(Intercept)",2.24146386226219,0.827673502612054,1.74561795769821,2.23165651983696,2.72857379846749,3.71427496854749,"Crenosoma"
"sex[male]",0.563034146854742,0.0420668061407449,0.380421557914778,0.559497940912904,0.741241866959904,1.10122075255496,"Crenosoma"
"weight_kg",-0.47091573892135,-0.708589182370239,-0.548647185216485,-0.469464590036365,-0.390107490289357,-0.244255129567753,"Crenosoma"
"season[spring]",0.127433007739349,-0.617739771346885,-0.124796055195961,0.129132840137702,0.379394303981149,0.860856868509563,"Crenosoma"
"season[winter]",0.361392227072213,-0.187039064023992,0.17063966844587,0.358464338476699,0.549510177203915,0.917650315645663,"Crenosoma"
"area[Brandenburg]",-0.526151663120683,-1.12201770130741,-0.733734692890767,-0.52607769736545,-0.321534269033195,0.0771528442394889,"Crenosoma"
"Diet_Species_richness",-0.0355899768053598,-0.119731044385822,-0.0635596975514596,-0.0350450336268414,-0.00679699477242662,0.0446727469366664,"Crenosoma"
"BacM_Species_richness",-0.0322638940871992,-0.0634349264812795,-0.0426706206976451,-0.0320838228213974,-0.0216240920669852,-0.00193184264055997,"Crenosoma"
"FunM_Species_richness",0.0139097969357938,-0.00738978596552521,0.00665735871119576,0.013885151090963,0.0211800000302041,0.0353700182517697,"Crenosoma"
"(Intercept)",0.157115186051532,-2.03310517020447,-0.585867771020461,0.130630589475532,0.864715261449728,2.52830380015618,"Capillaria"
"sex[male]",0.231456028639256,-0.517139896376652,-0.020893659732951,0.23025970783504,0.479006482575972,0.994113317977948,"Capillaria"
"weight_kg",-0.336030006583863,-0.741287687886948,-0.447038253852116,-0.323958349711947,-0.210339327893929,-0.00460845203626463,"Capillaria"
"season[spring]",0.527156103072106,-0.474403331941793,0.19062152722401,0.523713663401415,0.861114648372634,1.53708780969871,"Capillaria"
"season[winter]",1.19960624014565,0.409765964880793,0.921124505620158,1.18661388770775,1.46590116829151,2.05515516986535,"Capillaria"
"area[Brandenburg]",0.679938508803425,-0.163230632598343,0.377322673209508,0.664907809558738,0.966788548934849,1.59691170648761,"Capillaria"
"Diet_Species_richness",0.00640140694805695,-0.119808670560424,-0.0330208156793053,0.00641350038421754,0.0466591935405497,0.131360882289343,"Capillaria"
"BacM_Species_richness",0.000959175400488759,-0.0477456230540135,-0.0146441115611861,0.000952543277042965,0.0164015011665096,0.049486042518285,"Capillaria"
"FunM_Species_richness",0.0124306391267651,-0.019822713120372,0.00108814270428625,0.011773576733465,0.0230524246412955,0.0482847794884008,"Capillaria"
"(Intercept)",-2.12433563687108,-4.06083336942174,-2.74457519647237,-2.10737414778324,-1.47923747417876,-0.315043368399844,"Alaria"
"sex[male]",0.262224864086562,-0.425101240708906,0.027321953486149,0.256877157874149,0.494258502511579,0.966321099251545,"Alaria"
"weight_kg",0.0457200188155832,-0.221749840533453,-0.0429990038677461,0.0458823781759603,0.134885963371248,0.312159074517725,"Alaria"
"season[spring]",0.838944617613754,-0.0900763715107484,0.513775507951227,0.835479615340856,1.16045419340872,1.79401240411746,"Alaria"
"season[winter]",0.746403054739999,-0.0636204135505676,0.466169592319322,0.742652434931263,1.0241529563441,1.58131854570568,"Alaria"
"area[Brandenburg]",1.14480460990131,0.402067010918,0.872426627230841,1.13378493522098,1.39773414943435,1.96777974777141,"Alaria"
"Diet_Species_richness",0.0353361293613825,-0.0641952688270263,0.00142971306650106,0.0350055570353157,0.0691991564739713,0.136042898182264,"Alaria"
"BacM_Species_richness",-0.0180244048123673,-0.05707418266929,-0.0307529875228273,-0.01784896021492,-0.00495547804266265,0.0195002505282678,"Alaria"
"FunM_Species_richness",-0.0133117398648227,-0.0437695794334591,-0.0230683433720663,-0.0130011563427917,-0.00323023086901741,0.0153758314863369,"Alaria"
"(Intercept)",-1.77392675241029,-3.78393801552885,-2.43981442291508,-1.75889838834665,-1.09725870996765,0.158462628718852,"Strongyloides"
"sex[male]",-0.0770421002215972,-0.781257229188601,-0.31567557901314,-0.0773996173429312,0.164182736318421,0.623680009877587,"Strongyloides"
"weight_kg",-0.299814905582604,-0.62115081451652,-0.404030203468726,-0.296922882225362,-0.191750706364133,0.000219871183514597,"Strongyloides"
"season[spring]",0.0924539568517621,-0.909560372853808,-0.234764177580411,0.0974426140286676,0.428874510134855,1.05259930651615,"Strongyloides"
"season[winter]",0.60757140198406,-0.215082464249579,0.324639806026163,0.606291510505596,0.890746936490195,1.43126109296443,"Strongyloides"
"area[Brandenburg]",1.28965290287706,0.527861247556644,1.02142171313316,1.2857852011126,1.55078572990404,2.08103058953872,"Strongyloides"
"Diet_Species_richness",0.0137150705807941,-0.0933035765619521,-0.0222830861921158,0.0141059285119276,0.0502849492965121,0.117980379762311,"Strongyloides"
"BacM_Species_richness",0.0379743866318636,-0.00164629488122506,0.0239714780008572,0.0376952725707077,0.0517645481298349,0.0791033382278988,"Strongyloides"
"FunM_Species_richness",-0.00670939381547034,-0.0378405197421233,-0.0171217529082364,-0.00652253088369963,0.0039594943009033,0.0234848588235142,"Strongyloides"
"(Intercept)",-1.48605078394136,-3.6964765412075,-2.21063815082809,-1.46969023512688,-0.743662944510949,0.638066742886018,"Toxocara"
"sex[male]",0.386290366137697,-0.356056009944615,0.120545004027317,0.378301219866289,0.642607127031315,1.17596561189778,"Toxocara"
"weight_kg",-0.455320699989399,-0.840871779484946,-0.576061163952773,-0.448707449411525,-0.326083097424189,-0.109527626881491,"Toxocara"
"season[spring]",0.213060636089978,-0.883174733955654,-0.138513335406908,0.225999607078984,0.579115940233957,1.24076701436305,"Toxocara"
"season[winter]",0.663601244432415,-0.162199256468634,0.38196515653387,0.659704748300825,0.944568544682886,1.50990680673916,"Toxocara"
"area[Brandenburg]",-0.143612234966616,-0.967326627315504,-0.429062016455703,-0.145454596567387,0.138899591541991,0.69649189407584,"Toxocara"
"Diet_Species_richness",0.0598149474301061,-0.0577548790851169,0.0210223719870998,0.0603800537980832,0.0993554089356362,0.172765955690852,"Toxocara"
"BacM_Species_richness",0.0115503302032233,-0.0360181605393743,-0.00458519095458591,0.0115914828925777,0.0277749745212716,0.0589398601487237,"Toxocara"
"FunM_Species_richness",0.0361644741406722,0.005422441903683,0.0252018803307921,0.035769910741669,0.0467373556602764,0.0693478349138278,"Toxocara"
"(Intercept)",1.07716022858651,-1.05695635059841,0.32825761258982,1.06221303456574,1.81011644702365,3.31114130149407,"Pearsonema"
"sex[male]",0.143714817859131,-0.59940577208702,-0.118167023201262,0.137472670147425,0.395912093014511,0.927654576798714,"Pearsonema"
"weight_kg",-0.535023724050714,-0.929672264155926,-0.659038133977553,-0.526845799918823,-0.401769801074056,-0.181532646534704,"Pearsonema"
"season[spring]",-0.131992584839052,-1.160348492578,-0.474597765900805,-0.126545218442848,0.21730324114963,0.866434518029642,"Pearsonema"
"season[winter]",0.17627116095068,-0.630057053485293,-0.102734793159464,0.169483774154955,0.452480100617183,1.00527034882229,"Pearsonema"
"area[Brandenburg]",-0.0207579616941757,-0.875517305160505,-0.30548141592172,-0.0173573822758389,0.267677950185312,0.815520382616139,"Pearsonema"
"Diet_Species_richness",-0.00460776862739182,-0.141060543392734,-0.048185650041102,-0.00221382640082632,0.0409206756898154,0.11949064605866,"Pearsonema"
"BacM_Species_richness",0.000274825848255272,-0.0476227902734105,-0.0156862402083714,0.000385047972800825,0.0164177547572077,0.0473878354584033,"Pearsonema"
"FunM_Species_richness",-0.0226389047033948,-0.0611719381103834,-0.0347458255914657,-0.022098964086412,-0.00990317191096494,0.0127592009920102,"Pearsonema"
